,name,gradyear
0,Alaa Alameldeen,1996
1,Ali Mahdavi-Amiri,
2,Anders Miltner,2013
3,Andrea Tagliasacchi,2005
4,Andrei Bulatov,1991
5,Angel Chang,2015
6,Angelica Lim,2008
7,Anne Lavergne,1991
8,Anoop Sarkar,1991
9,Arrvindh Shriraman,2004
10,Bobby Chan,2005
11,Bradley Bart,1996
12,Brian Fraser,2002
13,Cynthia Xie,
14,David G. Mitchell,1989
15,Diana Cukierman,1989
16,Edgar John,1984
17,Eugene Fiume,1981
18,Eugenia Ternovska,2002
19,Fred Popowich,1982
20,Ghassan Hamarneh,1995
21,Greg Baker,1998
22,Hang Ma,2012
23,Harinder Singh Khangura,1997
24,Hazra Imran,2003
25,Igor Shinkar,2014
26,Janice Regan,1979
27,Jason Peng,2015
28,Jian Pei,1991
29,Jiangchuan Liu,1999
30,Jiannan Wang,2008
31,Kangkang Yin,1997
32,Kay C. Wiese,1991
33,Ke Li,2014
34,Ke Wang,1984
35,Keval Vora,2017
36,Lawrence Kim,2013
37,Manolis Savva,2009
38,Martin Ester,1984
39,Matt Amy,2011
40,Maxwell Libbrecht,2011
41,Mo Chen,2011
42,Mohamed Hefeeda,1994
43,Oliver Schulte,1992
44,Ouldooz Baghban Karimi,
45,Parmit Chilana,2005
46,Qianping Gu Gu,1982
47,Richard (Hao) Zhang,1995
48,Robert D. Cameron,1977
49,Ryan C.N. D'arcy,1996
50,Saba Alimadadi,2017
51,Sharan Vaswani,2012
52,Sheelagh Carpendale,1992
53,Steven Bergner,2003
54,Steven Ko,1999
55,Steven Pearce,1981
56,Tao Wang,2015
57,Thomas C. Shermer,1984
58,Tianzheng Wang,2017
59,Toby Donaldson,1992
60,Uwe Glässer,1987
61,Valentine Kabanets,1993
62,Victor Cheung,2004
63,William N. Sumner,2005
64,Xing-Dong Yang,
65,Yagiz Aksoy,2011
66,Yasutaka Furukawa,2001
67,Yuepeng Wang,2014
