,name,role,area,profile,home
0,Alaa Alameldeen, Associate Professor,"""Computer architecture, computer systems, memory systems/security""",/computing/people/faculty/alaa-alameldeen.html,http://www.cs.sfu.ca/~alaa/alaa_home.shtml
1,Ali Mahdavi-Amiri, Assistant Professor Of Professional Practice,"""Visual computing, computer graphics, artificial intelligence""",/computing/people/faculty/ali-mahdavi-amiri.html,https://sites.google.com/site/alimahdaviamiri/
2,Anders Miltner,,"""Programming Languages""",/computing/people/faculty/anders-miltner.html,https://www.cs.utexas.edu/~amiltner/
3,Andrea Tagliasacchi, Associate Professor,"""Computer Vision, Computer Graphics, Deep Learning""",/computing/people/faculty/andrea-tagliasacchi.html,https://taiya.github.io
4,Andrei Bulatov, Professor,"""Constraint Satisfaction, Complexity of Computation""",/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
5,Angel Chang, Assistant Professor,"""Natural Language Processing, Artificial Intelligence, Computer Graphics""",/computing/people/faculty/angelchang.html,http://angelxuanchang.github.io/
6,Angelica Lim, Assistant Professor Of Professional Practice,"""Human Robot Interaction""",/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
7,Anne Lavergne, Senior Lecturer,"""Instruction""",/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
8,Anoop Sarkar, Professor,"""Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory""",/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
9,Arrvindh Shriraman, Associate Professor,"""Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.""",/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
10,Bobby Chan, Lecturer,"""Instruction""",/computing/people/faculty/bobbychan.html#main_content_title,/computing/people/faculty/bobbychan.html#main_content_title
11,Brad Bart, Senior Lecturer,"""Instruction""",/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
12,Brian Fraser, Senior Lecturer,"""Instruction""",/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
13,Cynthia Xie, Senior Lecturer,"""Mandarin Chinese Instruction for the Dual Degree Program""",/computing/people/faculty/cynthiaxie.html,
14,David Mitchell, Associate Professor,"""Constraint satisfaction, Algorithms for deduction and other reasoning tasks""",/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
15,Diana Cukierman, University Lecturer,"""Instruction""",/computing/people/faculty/dianacukierman.html,
16,Eugene Fiume, Professor,"""Computer Graphics""",/computing/people/faculty/eugenefiume.html,
17,Eugenia Ternovska, Associate Professor,"""Logical in Computer Science, Descriptive Complexity""",/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
18,Fred Popowich, Professor,"""Computational Linguistics and Logic Programming""",/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
19,Ghassan Hamarneh, Professor,"""Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)""",/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
20,Greg Baker, University Lecturer,"""Instruction""",/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
21,Hang Ma, Assistant Professor,"""Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning""",/computing/people/faculty/hangma.html,https://www.sfu.ca/~hangma/
22,Harinder Singh Khangura, Senior Lecturer,"""Instruction""",/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
23,Hazra Imran, Limited-term Lecturer,"""Personalization and Adaptivity in Learning Systems, Game-based Learning""",/computing/people/faculty/hazra-imran.html,
24,Igor Shinkar, Assistant Professor,"""Computational complexity""",/computing/people/faculty/igorshinkar.html,
25,Janice Regan, Senior Lecturer,"""Instruction""",/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
26,Jason Peng,,"""Reinforcement Learning, Computer Animation, Robotics""",/computing/people/faculty/jason-peng.html,https://xbpeng.github.io/
27,Jian Pei, Professor,"""Databases and Data Mining""",/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
28,Jiangchuan (Jc) Liu, Professor,"""Networking and multimedia communications""",/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
